identifier;max volume(M.m3/year);source volume(M.m3/year);real volume(M.m3/year)
Plant #YR200315Y;1071.746;1066.29;1038.6843343
Plant #SQ200191B;1082.536;1028.86;1010.1809786700001
Module #SG100509Z;95.649;82.027;81.28345831000001
Module #VF100890M;78.048;69.515;68.79369116999999
Module #EU100736A;105.461;95.247;94.34743986
Module #PZ101162I;91.992;84.571;83.70903125
Plant #GA200735W;557.052;523.733;514.4448199499999
Plant #RL200220U;737.53;672.365;661.0168939399999
Module #RC100818W;79.335;71.95;71.2254635
Unit #ZQ001322A;2.474;2.115;2.09306745
Module #SD100194J;76.971;68.603;68.03497101
Plant #VR200680S;350.406;325.196;319.80664312
Plant #IH300221T;1120.025;994.04;976.4589879900001
Plant #TD200033T;233.468;226.55;223.83996998
Facility complex #IA400009X;8884.961;8699.028;8378.42642725
Module #EB100626T;57.701;49.155;48.67747299
Module #IF100678U;101.454;91.864;91.04397877
Plant #ZY300168H;3671.255;3555.972;3454.5288342599997
Plant #JO200781K;978.987;937.708;921.1752911299998
Plant #VQ200185L;781.311;666.656;654.4194482400001
Unit #JE000192Y;5.993;5.51;5.4616222
Module #ZC100559P;56.483;55.499;54.95748261
Plant #CN300258N;2085.51;2030.371;1980.30002459
Plant #FF200204E;779.465;702.097;691.19270625
Plant #RL200523B;435.12;387.238;381.82905459999995
Module #YP101038Y;14.094;12.245;12.13148885
Module #BK100667Q;91.729;88.353;87.52303392
Unit #BH001283C;8.646;7.564;7.502429040000001
Facility complex #OL400069I;4595.667;4210.862;4028.3989593600004
Module #ZU100941Y;99.26;96.614;95.62156641
Module #OE100698D;102.459;90.205;89.39503921000001
Plant #FH300175P;1269.973;520.223;509.98305963999996
Plant #NN300059D;1154.648;667.446;658.8438944400001
Plant #JH300118T;1548.868;1487.618;1444.41118615
Plant #JN300145I;4294.231;4245.296;4146.09108293
Module #HY100147A;109.598;106.168;105.20684982
Plant #HV200297C;967.346;962.671;947.8955292999999
Module #DO100232Q;98.397;95.894;95.02092387
Plant #WQ300189U;1432.882;1321.783;1298.8835071299998
Plant #NI200420O;898.677;874.01;860.57112829
Plant #UC200230Z;234.234;232.686;229.75239766
Facility complex #UC400055M;3061.112;2819.868;2747.58811998
Unit #ZU000699N;2.175;2.1;2.081163
Module #IW100994C;98.074;96.959;95.98015348000001
Plant #RW200067U;809.448;794.766;780.2344931499999
Plant #MG200081P;1089.806;1085.095;1056.5750375499997
Plant #LB200466U;859.862;825.264;811.0173882399997
Plant #LQ200577G;1090.938;1084.702;1065.8500691799998
Plant #RL200243X;155.125;138.6;137.26536369
Module #PB100664N;91.061;90.02;89.11478063
Plant #XE200210B;845.682;776.979;763.2825126399998
Plant #EV200116G;1088.921;1044.478;1015.1634242
Plant #QP200588B;932.52;805.728;790.3438190300001
Module #KJ100250X;106.16;102.918;101.91621570999999
Module #PJ100409O;62.921;61.798;61.13740061000001
Module #AK100747T;96.324;95.116;94.14684842999999
Plant #JZ300103H;1189.54;1024.684;1007.79173813
Module #WV101124J;91.619;77.98;77.17854648999999
Module #DO101186J;83.824;72.645;71.98776600000001
Unit #MO000490N;4.133;3.944;3.9034556799999995
Plant #LX200255K;254.285;222.408;220.22264762
Module #MW101146R;105.914;103.229;102.1965298
Plant #ZP200250A;247.565;233.172;230.55466184
Module #QW100354U;109.761;101.669;100.71691633
Plant #AU200050F;544.13;484.99;478.62064452
Module #YI101073C;68.977;63.775;63.11453086
Module #KZ100107S;105.342;92.859;91.97035532999999
Facility complex #BT400004O;7130.109;6355.372;6150.79098983
Unit #GB001418E;2.604;2.394;2.37470436
Module #ZQ100768S;94.257;92.553;91.03420526999999
Plant #EM300323Z;2368.791;2143.164;2097.3122316800004
Plant #OX200145K;278.371;241.187;238.21789382
Unit #FA001394C;6.189;5.409;5.350907340000001
Plant #QR200673D;182.184;170.249;168.06030158
Module #OS101071P;100.641;99.828;98.73848459000001
Facility complex #IW400014Z;2225.904;1490.48;1456.12063114
Plant #RQ200092E;489.299;456.854;451.62312462999995
Plant #BA200011G;360.457;340.409;334.93054226000004
Module #RV101174O;73.883;71.791;71.10196653
Facility complex #HW400053Q;5124.358;4511.787;4385.06331491
Module #NU100477P;108.565;106.084;105.06594444
Module #FM100695B;74.909;66.137;65.48110885
Module #GP100452P;104.087;103.683;102.61235354
Plant #EH200346O;268.923;235.675;232.67195720000004
Plant #EF300024B;6674.079;5965.993;5761.62798751
Plant #WQ200280Y;214.237;190.663;188.14387657
Plant #AT200223H;539.179;500.337;493.552006
Facility complex #OE400049M;7812.438;7075.493;6788.948140580001
Plant #CH300137O;10440.566;9714.832;9384.76067675
Module #LZ100886B;107.069;106.198;105.18101766
Module #PQ101157M;67.4;65.519;64.89439883
Plant #PJ200002I;557.663;500.919;492.4974813
Module #AK100765E;17.427;14.989;14.837611099999998
Unit #YG000096B;1.393;1.207;1.19658359
Plant #LD200224N;1068.956;1057.694;1028.5185522200002
Plant #IB200068P;1098.334;1024.951;1007.6052012199999
Plant #TM300234Z;3455.92;3144.925;3057.8481539599998
Module #HF100191C;106.808;103.769;102.82819802
Module #IF100660X;102.284;102.111;101.05857685
Module #HL101051Z;94.707;92.338;91.47683702
Plant #DG200205I;736.263;728.489;715.42396121
Module #WO100546Q;30.753;29.372;29.09942784
Module #BZ100259M;107.323;92.546;91.70921552
Plant #EY300101O;5233.812;4903.939;4779.6689548800005
Plant #MV200444R;168.028;162.989;161.11292260000002
Module #SC100266I;53.686;47.735;47.334112479999995
Plant #VU200593E;1053.954;1052.703;1025.2912672500001
Plant #EY200249K;992.669;992.279;971.15867068
Module #AN100486V;84.345;78.442;77.68781745999999
Module #GA101020X;102.751;102.518;101.10498805
Plant #OY200194G;976.356;896.79;880.02432921
Plant #QO200468K;590.179;552.567;543.24939812
Module #HY100905D;75.859;67.48;66.79815769999999
Plant #OE200111Z;252.343;252.228;249.09281315
Module #XM100105I;86.109;78.75;78.01229744999999
Plant #MK300328O;1299.478;1130.297;1112.46568308
Plant #BX200459N;127.743;70.566;69.67397404
Plant #RZ300088N;1227.76;457.587;451.38797566
Plant #IL200399P;771.285;742.299;729.90638457
Plant #KG200122W;364.447;333.685;329.28122661
Unit #HK000763M;1.309;0.78;0.772824
Plant #LL200761R;342.111;319.206;315.00218245
Unit #ET000008O;7.519;7.114;7.0555229200000005
Plant #UM300091T;1198.352;1042.931;1024.2918799899999
Unit #DU000674E;6.843;6.305;6.23646465
Module #ES100763T;102.133;98.568;97.59828566999998
Plant #BS200410K;1004.148;869.242;854.6666279099999
Plant #YD200063K;996.942;994.202;977.2060224200001
Plant #ID200613T;929.179;829.251;816.46832402
Module #BJ101112U;107.159;94.937;93.96353387
Module #OU100726O;74.959;70.58;69.96563019
Unit #NR001623M;1.111;0.583;0.57768304
Module #VD100573N;81.755;70.786;70.09739617999999
Plant #FD200592F;771.43;684.988;673.2887142299999
Module #WP100172V;77.985;73.43;72.67738976
Plant #NR200074H;1077.399;1072.251;1051.64167462
Plant #GP200043I;776.013;760.094;744.95495408
Module #XO100291A;101.207;95.671;94.80592482
Unit #QF000516F;7.082;6.062;5.995378619999999
Plant #WP200626D;809.325;782.036;768.8687041400001
Plant #YM300071Z;9876.338;9610.564;9191.318903930001
Plant #VI300093R;1116.061;344.261;340.16997614
Unit #CD001491M;1.337;1.181;1.1684814
Plant #LG200199S;841.299;807.366;792.6466519
Unit #MQ000875I;3.2;2.927;2.89617869
Module #LJ100208R;73.939;70.091;69.40611770999999
Module #UP100722L;44.433;43.089;42.67489644
Plant #DN200755Q;879.312;752.349;739.6356569599999
Module #JK100658D;99.348;91.369;90.59971419
Module #RN100683C;76.744;69.28;68.59475702
Module #GJ101196N;97.346;95.982;95.0616643
Module #DH100798J;33.894;32.076;31.802270640000003
Module #JP100841B;99.154;94.604;93.37319794
Plant #OP200746Q;920.155;791.731;777.12231834
Module #KL100788O;90.677;89.624;88.74413614000001
Plant #OB300239F;2960.906;2584.552;2530.186664
Module #HK100033O;103.21;100.549;99.63606853
Module #AQ100199R;71.817;62.746;62.13322988
Module #UT100400Z;82.157;70.451;69.84210075
Plant #EA200569P;184.649;175.984;173.43610272
Module #VM100876Q;64.841;57.531;56.989890079999995
Module #EO100178S;100.493;92.603;91.66613622
Plant #OM300253G;1554.067;1499.421;1463.2040473499997
Plant #AH200488I;952.385;873.449;848.51260354
Facility complex #KJ400015F;2236.59;1675.72;1636.4038243999998
Unit #NK001559W;5.793;5.484;5.43963444
Plant #ZY200497R;915.579;909.781;886.2066200200001
Plant #ZB200538R;228.308;221.484;218.97161670999998
Plant #UT300154J;5331.045;5228.808;5020.3173572
Module #WK101052P;49.764;47.993;47.58075725
Module #WF100366D;108.338;99.746;98.81301603
Module #BU100270E;52.21;48.698;48.29178468
Plant #OA200798V;217.551;187.556;185.04601725
Unit #BR001216L;3.409;3.159;3.1268413799999997
Unit #ZU000743R;2.766;2.665;2.6390962
Module #QQ100948E;102.839;93.269;92.35543051
Module #LE100962X;107.653;104.71;103.75364984999999
Unit #NR001073V;8.879;7.662;7.59580032
Module #WL100466M;92.697;90.379;89.53220470999999
Plant #UH200788E;788.544;749.636;736.08096403
Unit #JG000458Y;6.219;5.488;5.438772639999999
Unit #AH000525V;5.8;5.382;5.32931022
Plant #XW200621W;804.922;694.394;681.4584011999999
Plant #LI300170I;1706.849;1529.544;1495.71623929
Module #OX100064G;101.228;90.717;89.77210583
Unit #LY000947Y;6.77;6.031;5.9712931000000005
Plant #JH300149E;1118.369;270.03;266.79437666
Plant #HQ300326P;2036.357;1922.788;1885.7961378099997
Plant #RP300244I;1095.154;270.277;267.03472394
Facility complex #HR400036W;6529.497;6323.728;6091.45743871
Plant #WF200704D;469.746;435.983;429.94465909999997
Plant #CR200808J;121.855;95.008;94.12257616
Module #XJ100807N;95.234;84.644;83.84567504
Plant #NA200413O;997.398;960.411;943.39425309
Unit #CF001324H;1.731;1.708;1.69283296
Module #QT100242I;66.48;64.067;63.47738784
Module #WU100996S;101.413;93.269;92.1379331
Plant #NG200445O;1053.105;1049.095;1032.75747152
Module #KZ100027X;96.912;88.802;88.03507774
Plant #BT200615L;968.217;901.692;887.52476568
Unit #GW001395J;6.531;6.332;6.2701363599999995
Plant #JN200200N;987.901;959.713;934.46489971
Unit #YE001366B;4.78;4.606;4.5564855
Module #PJ100022X;95.906;95.754;94.80911986
Module #JR100611N;62.754;54.088;53.63870382
Module #HA100809S;104.154;100.174;98.80882071
Unit #YO000328H;2.673;2.274;2.24900874
Module #SK100475M;69.125;61.198;60.59201588
Plant #QP200209A;716.536;625.448;614.81354193
Plant #NI200305X;169.412;167.365;165.41436634000002
Plant #IM300243V;1543.205;1391.323;1367.7759471800002
Plant #VO300023M;1115.662;444.215;438.18673593999995
Plant #FM200451D;845.101;732.138;718.6726578299999
Unit #RS000414T;1.55;1.486;1.4711548600000002
Plant #ZT200529M;265.058;256.011;253.16369233
Module #CJ100984J;102.929;99.526;98.5972389
Facility complex #RH400012D;5500.428;5188.631;4967.67702597
Plant #AR200732A;249.206;247.292;244.1186871
Plant #BX300148I;8311.738;7480.878;7224.50682303
Module #XW101109P;77.879;72.146;71.43655394
Module #WE100495Z;44.149;38.756;38.3374352
Module #FO100392W;101.413;101.331;100.38367373000001
Plant #IC200775U;1096.48;1086.96;1067.36262471
Unit #SA000884Y;2.387;2.269;2.2501673
Module #NF100780D;103.844;101.179;100.26706946999998
Plant #LW200062K;769.69;759.813;745.7662367199999
Plant #TF200439B;876.683;794.341;779.4439536699999
Plant #IH200022B;566.657;494.647;488.46482063999997
Plant #MM300141R;5085.751;4947.067;4825.594625569999
Module #ZI100702I;90.085;85.862;84.95281659
Module #ZO100301W;47.552;42.726;42.35100387
Unit #OZ001027Q;6.104;5.952;5.897955840000001
Module #LZ100050B;91.858;90.265;89.41986920999999
Module #CS100403L;34.386;29.259;28.98422841
Plant #HV200570H;291.046;273.602;270.55781133
Plant #LS200003A;214.852;199.774;197.33542461
Plant #PK200463F;1041.017;1035.248;1005.5564538499999
Plant #MW200301P;1034.732;1026.743;1007.8409197599999
Plant #RG300219I;3766.536;3252.167;3174.8973190900006
Plant #LA200454O;399.926;370.945;366.13754813
Unit #SB000029D;7.265;6.416;6.3506851200000005
Module #AM100967D;81.942;70.953;70.22681927
Plant #JE300144Z;5633.019;5487.824;5334.532765879999
Plant #PW200394O;895.234;772.433;760.4454484600001
Unit #TD001104I;4.028;3.866;3.83271374
Plant #TH200644P;772.497;768.465;756.6329852500002
Unit #HA001088V;5.821;5.413;5.359736079999999
Plant #IB300098C;1106.553;228.497;226.49904792
Facility complex #WL400010G;5753.27;5330.754;5098.4314481599995
Module #TK101010A;17.646;15.809;15.65707551
Module #TP100052M;90.64;83.675;82.8620597
Module #OA100299Q;102.957;93.67;92.76033939999999
Plant #LN300043Q;1264.262;1078.04;1057.8386896
Unit #YL000115P;1.284;0.716;0.7098352399999999
Plant #PY200012R;180.521;178.096;175.88180818000004
Plant #MM200235V;580.307;569.972;559.12376429
Plant #TJ200072E;131.457;111.002;109.8287637
Module #CK100243V;40.722;36.914;36.56178535
Plant #ED200277O;230.297;201.421;199.20707805
Module #TU100750D;55.369;47.772;47.33796707
Plant #EX300194G;5296.353;4873.259;4680.92695563
Unit #HW000673N;10.417;10.385;10.29496205
Module #PQ100498Z;38.74;38.628;38.253344389999995
Module #FT101050L;104.551;94.694;93.77053033000001
Module #GH100692E;41.169;35.281;34.980808360000005
Plant #TH200789Y;989.676;851.892;838.6949538100001
Unit #SM000344Q;2.848;2.489;2.4623677
Module #CA100439C;93.464;85.894;84.85192660000001
Plant #EX200807F;1046.84;1028.203;1002.38344984
Plant #FP200403M;776.927;697.309;686.52631435
Unit #QM000849Q;2.378;2.367;2.34354303
Module #CM100418M;20.539;20.308;20.135955170000003
Unit #JG001033S;4.181;3.818;3.7792473
Plant #FD200566Q;973.465;947.202;932.9273423200001
Plant #JY200674A;878.931;854.758;841.76112044
Module #DL100091O;103.707;97.682;96.85264768
Plant #DV200446H;509.246;453.928;446.58215570999994
Module #LA101201S;104.252;101.482;100.55208771000001
Module #EO100837L;81.533;75.259;74.58014202
Facility complex #AA400066H;6800.627;6152.247;5987.41843097
Plant #QR200493F;915.422;897.117;882.9605232299999
Module #AS100536D;98.866;89.174;88.348776
Plant #LJ300109V;2051.68;1762.722;1732.6392757899998
Facility complex #CZ400038O;9521.721;8632.353;8291.23267021
Module #ZB101129I;97.026;92.898;91.63555506000002
Plant #YG300206Z;3194.209;3085.345;3018.2241101199998
Facility complex #ZW400060A;2267.838;1981.105;1938.30158213
Unit #TQ000660F;9.142;8.201;8.13170155
Plant #AP200617G;927.05;879.129;864.5382612099999
Plant #UD300284T;1138.432;694.6;683.85746948
Module #FS101231N;78.181;77.551;76.84914479000001
Plant #PO300174W;2032.466;2012.519;1967.2836493500001
Plant #LE200155M;282.458;257.074;253.69602804000002
Plant #ET300271B;1723.723;1693.445;1656.42971854
Unit #BD000655Y;3.049;2.704;2.6743641599999997
Plant #NY300263X;1093.743;307.208;303.62669336000005
Module #UB100142L;16.882;14.403;14.281006589999999
Plant #PG200568F;652.535;588.71;577.0038011299999
Plant #TF300025M;6014.369;5535.448;5336.166954609999
Unit #EO000101J;1.318;0.92;0.9125572
Module #XA101015X;40.131;39.997;39.59544299
Module #XR101091H;70.156;65.633;64.99421561999999
Plant #HN300275E;1372.154;1298.73;1275.31917152
Plant #HY200374H;881.973;881.049;868.0971520200001
Plant #QQ200659M;1093.196;1084.162;1068.2882559299999
Module #FB100653J;97.175;92.96;92.04999274000001
Plant #SL200382Z;655.008;569.871;559.1789659
Module #DW100602M;100.902;100.163;98.7995526
Plant #AI200596A;1084.808;1081.548;1060.24686092
Unit #IK001078R;4.064;3.55;3.5202155
Plant #PP300256B;1220.79;42.673;42.266929129999994
Unit #NZ000487A;5.051;4.3;4.26087
Plant #CY200565Q;470.952;421.966;416.61038763000005
Module #PB100850M;103.836;98.441;97.31897941
Module #GT100277S;106.727;102.329;100.82169382999999
Plant #YP200437I;712.433;664.369;652.1658102
Plant #RP200786D;450.152;426.197;420.90307194999997
Plant #PV200355R;116.268;82.195;81.42883502
Module #AB100651T;102.211;99.831;98.82105638000002
Plant #HV300293K;2345.88;2196.812;2140.03294634
Plant #QD300197F;1274.722;967.029;950.6194901499999
Module #GH100801T;81.325;76.669;75.95217639
Module #CW101061W;12.524;6.621;6.55664388
Module #LO100131S;78.446;72.823;72.08745429000001
Plant #SU200308O;1079.177;978.929;956.6314456900001
Unit #IO001075Z;10.239;10.198;10.0975497
Module #IT100041S;109.753;109.572;108.45521833000001
Facility complex #HF400018H;10977.217;9924.198;9616.67661713
Plant #JC200303V;726.795;704.471;692.2825668400001
Module #WV100947H;77.824;77.626;76.66457173999999
Module #MN100779I;90.905;86.364;85.53022779999999
Facility complex #TV400020S;2194.993;1410.234;1377.02239145
Unit #FS001238J;6.694;6.515;6.459296749999999
Plant #KH200821G;131.405;125.926;124.67089922000001
Plant #TM200705U;886.312;867.12;853.81770126
Plant #EB300307Z;1209.053;545.679;536.58746512
Facility complex #XA400003F;14823.268;14706.833;14088.844118459998
Plant #UY200600I;736.246;658.005;648.36264327
Plant #OD200624U;144.908;126.607;125.07098325999999
Unit #NR000563I;4.525;4.352;4.30852352
Unit #FK000409U;1.134;0.848;0.8390196800000002
Module #DA100086I;60.408;54.429;53.97470862000001
Unit #AI001505C;3.498;3.261;3.22959657
Plant #MK200165V;275.328;237.821;235.17226620000002
Plant #PQ300207K;5715.865;4989.255;4847.08255862
Plant #YE200051C;815.606;787.613;776.2660589599999
Unit #VK000293X;8.015;7.066;6.99279624
Module #PN100038S;67.627;67.488;66.86353976
Module #PX100686L;103.049;101.29;100.32860672
Plant #HG300008M;6538.215;5933.794;5716.15286018
Plant #CU200716S;907.698;796.348;776.76729906
Plant #WJ200487T;883.45;813.894;791.77873918
Plant #VA200571B;993.244;990.853;975.78489202
Plant #IB200082U;1073.893;950.953;935.8091691300001
Module #RE100365P;39.196;38.839;38.45994275
Plant #SX200148I;686.862;597.918;587.18302278
Unit #NI000196D;3.536;3.443;3.41428538
Plant #IY200284E;989.786;846.172;831.64358401
Plant #UL200115R;1095.917;969.8;953.5586281399999
Unit #IC000045M;6.667;6.027;5.96462055
Plant #II200683P;923.027;920.569;896.16983626
Unit #ZK001444K;6.777;6.71;6.6457182
Plant #KZ300121D;2948.088;2742.938;2668.4659374999997
Plant #NO200606R;146.702;143.724;141.59098182999998
Module #JJ100499Q;91.07;88.406;87.65702802
Plant #LD200262J;1032.779;1031.597;1012.4438875899999
Module #VA100008J;107.837;98.416;97.47627614999999
Unit #AK001462Y;5.613;5.399;5.345387930000001
Module #EB100256G;97.064;96.346;95.40190233999999
Unit #IZ000600O;4.704;4.289;4.2508279
Unit #AH001005J;6.748;6.182;6.1144307399999995
Module #AT100249Y;65.853;64.293;63.73610303999999
Module #MK100441A;89.298;76.039;75.36683972
Plant #IC200331H;305.824;294.323;291.01383897
Unit #PJ000906T;4.132;3.703;3.6622670000000004
Module #PF100407E;98.909;91.926;90.75435006
Unit #CK001310I;1.267;1.062;1.05272874
Module #DB100186X;98.094;95.066;94.09886541999998
Plant #KV300200U;1745.492;1585.581;1544.47131384
Plant #FO300085H;7849.159;7400.105;7128.606653469999
Module #KE100330V;106.734;102.73;101.78774951
Module #UP100899V;96.988;88.626;87.76415413
Module #AW100084T;108.659;104.264;103.17721859999999
Module #PP100638L;63.609;61.859;61.3336266
Plant #DD200052X;981.757;918.176;902.84123832
Plant #NW200643D;1054.32;1045.951;1027.40820983
Module #GA100828L;26.811;26.634;26.412831260000004
Plant #AM200700B;250.899;222.692;219.93724297000003
Facility complex #LB400076L;2653.629;2422.236;2366.0953398
Plant #CX200500N;431.165;402.187;395.2489258
Module #NC100873L;107.345;98.848;97.87597108
Plant #PS300124F;1283.284;593.213;582.36587517
Plant #IO200415Z;1043.48;1035.332;1016.39330446
Plant #CJ200248B;901.612;795.065;782.14119334
Module #PG100826A;105.46;102.323;101.37292470999999
Unit #SJ000890S;3.295;2.907;2.87973234
Unit #FE001519E;1.219;1.083;1.07429268
Plant #SG200320U;371.847;330.772;326.54875885999996
Module #TW100135R;100.272;100.03;99.09875029
Plant #SQ300225U;6484.233;5742.351;5586.55013791
Plant #KI200327D;847.087;836.81;822.7045212900001
Unit #UE000659C;3.191;3.078;3.0444497999999998
Plant #DB200004K;462.532;457.841;452.95559937
Module #SK100308F;81.347;72.001;71.32826386
Plant #JR200018P;786.98;694.475;683.3439437599999
Plant #DG300261L;1273.876;1038.651;1023.53277082
Plant #PJ200610R;299.57;268.923;266.06345709000004
Plant #RB200195D;827.264;753.081;739.20021377
Plant #GD200757J;927.832;908.948;892.4423886099999
Plant #UK200772U;476.36;458.866;452.11112214999997
Plant #MT200800V;966.58;825.292;811.2487882400001
Facility complex #TS400081U;4892.763;4687.169;4519.6463994
Module #XL100241J;61.951;59.336;58.78990786
Plant #KS200078S;215.063;214.829;212.4018744
